,Descripción,Unidad,Precio,$,Tipo
0,EXTINTOR CONTRA INCENDIO,,,,EXTINTOR CONTRA INCENDIO
1,EXTINTOR C.I.POLVO QUIMICO SECO ABC 1 KG,PZA,"20,00",$,EXTINTOR CONTRA INCENDIO
2,EXTINTOR C.I.POLVO QUIMICO SECO ABC 2 KG,PZA,"30,00",$,EXTINTOR CONTRA INCENDIO
3,EXTINTOR C.I.POLVO QUIMICO SECO ABC 4 KG,PZA,"35,00",$,EXTINTOR CONTRA INCENDIO
4,EXTINTOR C.I.POLVO QUIMICO SECO ABC 6 KG,PZA,"50,00",$,EXTINTOR CONTRA INCENDIO
5,EXTINTOR C.I.POLVO QUIMICO SECO ABC 9 KG,PZA,"60,00",$,EXTINTOR CONTRA INCENDIO
6,EXTINTOR C.I.POLVO QUIMICO SECO ABC 12 KG,PZA,"65,00",$,EXTINTOR CONTRA INCENDIO
7,EXTINTOR C.I.POLVO QUIMICO SECO ABC 25 KG RODANTE,PZA,"280,00",$,EXTINTOR CONTRA INCENDIO
8,EXTINTOR C.I.POLVO QUIMICO SECO ABC 50 KG RODANTE,PZA,"390,00",$,EXTINTOR CONTRA INCENDIO
9,EXTINTOR C.I .GAS CARBONICO 2 KG,PZA,"130,00",$,EXTINTOR CONTRA INCENDIO
10,EXTINTOR C.I .GAS CARBONICO 5 KG,PZA,"180,00",$,EXTINTOR CONTRA INCENDIO
11,EXTINTOR C.I. AGUA PRESURIZADA 2.5 GAL ACERO INOXIDABLE,PZA,"110,00",$,EXTINTOR CONTRA INCENDIO
12,EXTINTOR C.I. AGUA PULVERIZADA 2.5 GAL,PZA,"250,00",$,EXTINTOR CONTRA INCENDIO
13,EXTINTOR C.I. HALOTRON I 5 LB,PZA,"210,00",$,EXTINTOR CONTRA INCENDIO
14,EXTINTOR C.I. HALOTRON I 11 LB,PZA,"270,00",$,EXTINTOR CONTRA INCENDIO
15,EXTINTOR C.I. ESPUMA AFFF 2.5 GAL,PZA,"170,00",$,EXTINTOR CONTRA INCENDIO
16,GABINETE DE MANGUERA CONTRA INCENDIO,,,,GABINETE DE MANGUERA CONTRA INCENDIO
