,ID_Partida,ID_Elemento,Descripción,Unidad,Cantidad
0,OE.3.4.2.61*,0101010001,CAPATAZ,hh,0.0800
1,OE.3.4.2.61*,0101010002,OPERARIO,hh,0.8000
2,OE.3.4.2.61*,0101010004,PEON,hh,0.4000
3,OE.3.4.2.61*,0220010003,ARENA GRUESA,m3,0.0500
4,OE.3.4.2.61*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.4450
5,OE.3.4.2.61*,022H100005,ADOQUIN DE CONCRETO PIEDRA 4x10.5x21 cm,m2,1.0500
6,OE.3.4.2.61*,0238270001,AGUA,m3,0.0054
7,OE.3.4.2.61*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
8,OE.3.5.1.4.01*,0101010001,CAPATAZ,hh,0.0571
9,OE.3.5.1.4.01*,0101010002,OPERARIO,hh,0.5714
10,OE.3.5.1.4.01*,0101010004,PEON,hh,0.3829
11,OE.3.5.1.4.01*,0220010001,ARENA FINA,m3,0.0210
12,OE.3.5.1.4.01*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.1869
13,OE.3.5.1.4.01*,022G180002,MADERA ANDAMIAJE,p2,0.5200
14,OE.3.5.1.4.01*,022Q140005,CLAVO C/CABEZA P/CONSTRUCCION D. PROMEDIO,kg,0.0300
15,OE.3.5.1.4.01*,0238270001,AGUA,m3,0.0056
16,OE.3.5.1.4.01*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
17,OE.3.4.2.71*,0101010001,CAPATAZ,hh,0.0571
18,OE.3.4.2.71*,0101010002,OPERARIO,hh,0.5714
19,OE.3.4.2.71*,0101010003,OFICIAL,hh,0.2857
20,OE.3.4.2.71*,0101010004,PEON,hh,0.5714
21,OE.3.4.2.71*,0220010001,ARENA FINA,m3,0.0090
22,OE.3.4.2.71*,0220010003,ARENA GRUESA,m3,0.0562
23,OE.3.4.2.71*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.4820
24,OE.3.4.2.71*,022G180001,REGLA DE MADERA,p2,0.4000
25,OE.3.4.2.71*,0238270001,AGUA,m3,0.0146
26,OE.3.4.2.71*,0391010101,HERRAMIENTA MANUAL,%MO,5.0000
27,OE.3.5.1.4.02*,0101010001,CAPATAZ,hh,0.0571
28,OE.3.5.1.4.02*,0101010002,OPERARIO,hh,0.5714
29,OE.3.5.1.4.02*,0101010004,PEON,hh,0.3829
30,OE.3.5.1.4.02*,0220010001,ARENA FINA,m3,0.0210
31,OE.3.5.1.4.02*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.1869
32,OE.3.5.1.4.02*,0223290001,OCRE,kg,0.3972
33,OE.3.5.1.4.02*,022G180002,MADERA ANDAMIAJE,p2,0.5200
34,OE.3.5.1.4.02*,022Q140005,CLAVO C/CABEZA P/CONSTRUCCION D. PROMEDIO,kg,0.0300
35,OE.3.5.1.4.02*,0238270001,AGUA,m3,0.0056
36,OE.3.5.1.4.02*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
37,OE.3.4.2.72*,0101010001,CAPATAZ,hh,0.0571
38,OE.3.4.2.72*,0101010002,OPERARIO,hh,0.5714
39,OE.3.4.2.72*,0101010003,OFICIAL,hh,0.2857
40,OE.3.4.2.72*,0101010004,PEON,hh,0.5714
41,OE.3.4.2.72*,0220010001,ARENA FINA,m3,0.0090
42,OE.3.4.2.72*,0220010003,ARENA GRUESA,m3,0.0562
43,OE.3.4.2.72*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.4820
44,OE.3.4.2.72*,0223290001,OCRE,kg,0.1606
45,OE.3.4.2.72*,022G180001,REGLA DE MADERA,p2,0.4000
46,OE.3.4.2.72*,0238270001,AGUA,m3,0.0146
47,OE.3.4.2.72*,0391010101,HERRAMIENTA MANUAL,%MO,5.0000
48,OE.3.5.1.4.03*,0101010001,CAPATAZ,hh,0.0667
49,OE.3.5.1.4.03*,0101010002,OPERARIO,hh,0.6667
50,OE.3.5.1.4.03*,0101010004,PEON,hh,0.4467
51,OE.3.5.1.4.03*,0220010001,ARENA FINA,m3,0.0210
52,OE.3.5.1.4.03*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.1869
53,OE.3.5.1.4.03*,0223290001,OCRE,kg,0.3972
54,OE.3.5.1.4.03*,022G180002,MADERA ANDAMIAJE,p2,0.5200
55,OE.3.5.1.4.03*,022Q140005,CLAVO C/CABEZA P/CONSTRUCCION D. PROMEDIO,kg,0.0300
56,OE.3.5.1.4.03*,0238270001,AGUA,m3,0.0056
57,OE.3.5.1.4.03*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
58,OE.3.4.2.73*,0101010001,CAPATAZ,hh,0.0404
59,OE.3.4.2.73*,0101010002,OPERARIO,hh,0.4000
60,OE.3.4.2.73*,0101010004,PEON,hh,0.2000
61,OE.3.4.2.73*,0220010003,ARENA GRUESA,m3,0.1124
62,OE.3.4.2.73*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.9640
63,OE.3.4.2.73*,022G180001,REGLA DE MADERA,p2,0.4200
64,OE.3.4.2.73*,0238270001,AGUA,m3,0.0292
65,OE.3.4.2.73*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
66,OE.3.5.1.11.01*,0101010001,CAPATAZ,hh,0.2000
67,OE.3.5.1.11.01*,0101010002,OPERARIO,hh,2.0000
68,OE.3.5.1.11.01*,0101010004,PEON,hh,0.6600
69,OE.3.5.1.11.01*,0220010003,ARENA GRUESA,m3,0.0250
70,OE.3.5.1.11.01*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.1500
71,OE.3.5.1.11.01*,025S030003,FRAGUA BLANCA,kg,0.2000
72,OE.3.5.1.11.01*,025T090001,CERAM.PARED 20X20 cm,m2,1.0500
73,OE.3.5.1.11.01*,0391010101,HERRAMIENTA MANUAL,%MO,5.0000
74,OE.3.4.2.81*,0101010001,CAPATAZ,hh,0.1000
75,OE.3.4.2.81*,0101010002,OPERARIO,hh,1.0000
76,OE.3.4.2.81*,0101010004,PEON,hh,0.5000
77,OE.3.4.2.81*,020E140001,BREA,kg,0.0286
78,OE.3.4.2.81*,022U220001,CERA LIQUIDA,gal,0.0200
79,OE.3.4.2.81*,025T290009,PARQUET PUMAQUIRO 10mm 6X30 cm,m2,1.0500
80,OE.3.4.2.81*,0302140002,CEPILLADORA ELECTRICA,hm,0.1000
81,OE.3.4.2.81*,0391010101,HERRAMIENTA MANUAL,%MO,5.0000
82,OE.3.4.2.82*,0101010001,CAPATAZ,hh,0.0571
83,OE.3.4.2.82*,0101010002,OPERARIO,hh,0.5714
84,OE.3.4.2.82*,0101010004,PEON,hh,0.2857
85,OE.3.4.2.82*,020E140001,BREA,kg,0.0286
86,OE.3.4.2.82*,022U220001,CERA LIQUIDA,gal,0.0200
87,OE.3.4.2.82*,025T210024,PARQUET CORI CASPI VETEADO 10mm 6X30 cm,m2,1.0500
88,OE.3.4.2.82*,0302140002,CEPILLADORA ELECTRICA,hm,0.0571
89,OE.3.4.2.82*,0391010101,HERRAMIENTA MANUAL,%MO,5.0000
90,OE.3.5.2.3.04*,0101010001,CAPATAZ,hh,0.0400
91,OE.3.5.2.3.04*,0101010002,OPERARIO,hh,0.3636
92,OE.3.5.2.3.04*,0101010004,PEON,hh,0.1211
93,OE.3.5.2.3.04*,0220010001,ARENA FINA,m3,0.0032
94,OE.3.5.2.3.04*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.0222
95,OE.3.5.2.3.04*,0238270001,AGUA,m3,0.0008
96,OE.3.5.2.3.04*,0391010101,HERRAMIENTA MANUAL,%MO,5.0000
97,OE.3.5.2.3.05*,0101010001,CAPATAZ,hh,0.0432
98,OE.3.5.2.3.05*,0101010002,OPERARIO,hh,0.4324
99,OE.3.5.2.3.05*,0101010004,PEON,hh,0.1440
100,OE.3.5.2.3.05*,0220010003,ARENA GRUESA,m3,0.0053
101,OE.3.5.2.3.05*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.0370
102,OE.3.5.2.3.05*,0238270001,AGUA,m3,0.0013
103,OE.3.5.2.3.05*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
104,OE.3.5.2.3.51*,0101010001,CAPATAZ,hh,0.0333
105,OE.3.5.2.3.51*,0101010002,OPERARIO,hh,0.3333
106,OE.3.5.2.3.51*,0101010004,PEON,hh,0.1100
107,OE.3.5.2.3.51*,0220010001,ARENA FINA,m3,0.0022
108,OE.3.5.2.3.51*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.0155
109,OE.3.5.2.3.51*,0223290001,OCRE,kg,0.0329
110,OE.3.5.2.3.51*,0238270001,AGUA,m3,0.0006
111,OE.3.5.2.3.51*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
112,OE.3.5.2.3.52*,0101010001,CAPATAZ,hh,0.0400
113,OE.3.5.2.3.52*,0101010002,OPERARIO,hh,0.4000
114,OE.3.5.2.3.52*,0101010004,PEON,hh,0.1332
115,OE.3.5.2.3.52*,0220010001,ARENA FINA,m3,0.0044
116,OE.3.5.2.3.52*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.0311
117,OE.3.5.2.3.52*,0223290001,OCRE,kg,0.0661
118,OE.3.5.2.3.52*,0238270001,AGUA,m3,0.0011
119,OE.3.5.2.3.52*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
120,OE.3.5.2.3.53*,0101010001,CAPATAZ,hh,0.0471
121,OE.3.5.2.3.53*,0101010002,OPERARIO,hh,0.4706
122,OE.3.5.2.3.53*,0101010004,PEON,hh,0.1567
123,OE.3.5.2.3.53*,0220010001,ARENA FINA,m3,0.0066
124,OE.3.5.2.3.53*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.0466
125,OE.3.5.2.3.53*,0223290001,OCRE,kg,0.0990
126,OE.3.5.2.3.53*,0238270001,AGUA,m3,0.0017
127,OE.3.5.2.3.53*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
128,OE.3.6.2.11*,0101010001,CAPATAZ,hh,0.0400
129,OE.3.6.2.11*,0101010002,OPERARIO,hh,0.4000
130,OE.3.6.2.11*,0101010004,PEON,hh,0.8000
131,OE.3.6.2.11*,0220010001,ARENA FINA,m3,0.0048
132,OE.3.6.2.11*,0220010008,TIERRA DE CHACRA,m3,0.0420
133,OE.3.6.2.11*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.1000
134,OE.3.6.2.11*,022G180001,REGLA DE MADERA,p2,0.0070
135,OE.3.6.2.11*,022L100002,LADRILLO ARCILLA PASTELERO A MAQUINA 3x25x25 cm,mll,0.0170
136,OE.3.6.2.11*,0238270001,AGUA,m3,0.0020
137,OE.3.6.2.11*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
138,OE.3.5.2.3.54*,0101010001,CAPATAZ,hh,0.0400
139,OE.3.5.2.3.54*,0101010002,OPERARIO,hh,0.3636
140,OE.3.5.2.3.54*,0101010004,PEON,hh,0.1211
141,OE.3.5.2.3.54*,0220010001,ARENA FINA,m3,0.0032
142,OE.3.5.2.3.54*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.0222
143,OE.3.5.2.3.54*,0223290001,OCRE,kg,0.0472
144,OE.3.5.2.3.54*,0238270001,AGUA,m3,0.0008
145,OE.3.5.2.3.54*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
146,OE.3.6.3.11*,0101010001,CAPATAZ,hh,0.0400
147,OE.3.6.3.11*,0101010002,OPERARIO,hh,0.4000
148,OE.3.6.3.11*,0101010004,PEON,hh,0.8000
149,OE.3.6.3.11*,0220010001,ARENA FINA,m3,0.0327
150,OE.3.6.3.11*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.2301
151,OE.3.6.3.11*,022G180001,REGLA DE MADERA,p2,0.0070
152,OE.3.6.3.11*,022L100002,LADRILLO ARCILLA PASTELERO A MAQUINA 3x25x25 cm,mll,0.0170
153,OE.3.6.3.11*,0238270001,AGUA,m3,0.0084
154,OE.3.6.3.11*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
155,OE.3.5.2.3.55*,0101010001,CAPATAZ,hh,0.0432
156,OE.3.5.2.3.55*,0101010002,OPERARIO,hh,0.4324
157,OE.3.5.2.3.55*,0101010004,PEON,hh,0.1440
158,OE.3.5.2.3.55*,0220010003,ARENA GRUESA,m3,0.0053
159,OE.3.5.2.3.55*,0222010001,CEMENTO PORTLAND TIPO I (BLS.:42.5 kg),bls,0.0370
160,OE.3.5.2.3.55*,0223290001,OCRE,kg,0.0786
161,OE.3.5.2.3.55*,0238270001,AGUA,m3,0.0013
162,OE.3.5.2.3.55*,0391010101,HERRAMIENTA MANUAL,%MO,3.0000
163,OE.3.6.9.10*,0101010001,CAPATAZ,hh,0.0400
164,OE.3.6.9.10*,0101010002,OPERARIO,hh,0.4000
165,OE.3.6.9.10*,0101010004,PEON,hh,0.4000
166,OE.3.6.9.10*,022Q150007,"CLAVO C/CABEZA P/MADERA 1""X15",kg,0.0104
167,OE.3.6.9.10*,022Q150022,"CLAVO C/CABEZA P/MADERA 4""X8",kg,0.1037
168,OE.3.6.9.10*,022Q250004,"GRAPA 3/4"" (Bls 500gr)",bls,0.0729
169,OE.3.6.9.10*,022U140026,CINTA MALLA FIBRA DE VIDRIO (90ml),und,0.0047
170,OE.3.6.9.10*,023I260006,"MALLA CUADRADA 1/2""",m2,0.2667
171,OE.3.6.9.10*,024K410002,"PANEL TECNOMIX 3"" 2.40 x 1.20m",pza,0.3472
172,OE.3.6.9.10*,025R010011,PASTA PARA JUNTA (Bolsa de 20kg),pza,0.0250
173,OE.3.6.9.10*,0391010101,HERRAMIENTA MANUAL,%MO,5.0000
174,OE.3.6.9.11*,0101010001,CAPATAZ,hh,0.0400
175,OE.3.6.9.11*,0101010002,OPERARIO,hh,0.4000
176,OE.3.6.9.11*,0101010004,PEON,hh,0.4000
177,OE.3.6.9.11*,022Q150007,"CLAVO C/CABEZA P/MADERA 1""X15",kg,0.0104
178,OE.3.6.9.11*,022Q150022,"CLAVO C/CABEZA P/MADERA 4""X8",kg,0.1037
179,OE.3.6.9.11*,022Q250004,"GRAPA 3/4"" (Bls 500gr)",bls,0.0729
